time_step,lat,lon,pdop
0,-90,-180,1.59648
0,-90,-170,1.59648
0,-90,-160,1.59648
0,-90,-150,1.59648
0,-90,-140,1.59648
0,-90,-130,1.59648
0,-90,-120,1.59648
0,-90,-110,1.59648
0,-90,-100,1.59648
0,-90,-90,1.59648
0,-90,-80,1.59648
0,-90,-70,1.59648
0,-90,-60,1.59648
0,-90,-50,1.59648
0,-90,-40,1.59648
0,-90,-30,1.59648
0,-90,-20,1.59648
0,-90,-10,1.59648
0,-90,0,1.59648
0,-90,10,1.59648
0,-90,20,1.59648
0,-90,30,1.59648
0,-90,40,1.59648
0,-90,50,1.59648
0,-90,60,1.59648
0,-90,70,1.59648
0,-90,80,1.59648
0,-90,90,1.59648
0,-90,100,1.59648
0,-90,110,1.59648
0,-90,120,1.59648
0,-90,130,1.59648
0,-90,140,1.59648
0,-90,150,1.59648
0,-90,160,1.59648
0,-90,170,1.59648
0,-90,180,1.59648
0,-80,-180,1.19053
0,-80,-170,1.19097
0,-80,-160,1.19179
0,-80,-150,1.45339
0,-80,-140,1.45305
0,-80,-130,1.45334
0,-80,-120,1.45426
0,-80,-110,1.85657
0,-80,-100,1.85419
0,-80,-90,1.85242
0,-80,-80,1.85129
0,-80,-70,1.85085
0,-80,-60,1.59343
0,-80,-50,1.59201
0,-80,-40,1.59084
0,-80,-30,1.58994
0,-80,-20,1.5893
0,-80,-10,1.58893
0,-80,0,1.58883
0,-80,10,1.589
0,-80,20,1.58945
0,-80,30,1.59018
0,-80,40,1.87234
0,-80,50,1.87199
0,-80,60,1.87251
0,-80,70,1.87393
0,-80,80,1.8762
0,-80,90,1.87929
0,-80,100,1.44541
0,-80,110,1.4444
0,-80,120,1.44397
0,-80,130,1.44415
0,-80,140,1.44493
0,-80,150,1.44628
0,-80,160,1.19084
0,-80,170,1.19049
0,-80,180,1.19053
0,-70,-180,1.28251
0,-70,-170,1.28197
0,-70,-160,1.28256
0,-70,-150,1.28423
0,-70,-140,1.28693
0,-70,-130,1.60151
0,-70,-120,1.44512
0,-70,-110,1.44819
0,-70,-100,1.45234
0,-70,-90,1.84827
0,-70,-80,1.84624
0,-70,-70,1.84568
0,-70,-60,1.84656
0,-70,-50,1.84876
0,-70,-40,1.85215
0,-70,-30,1.24315
0,-70,-20,1.59199
0,-70,-10,1.59147
0,-70,0,1.59129
0,-70,10,1.24942
0,-70,20,1.34761
0,-70,30,1.34657
0,-70,40,1.4226
0,-70,50,1.41853
0,-70,60,1.41601
0,-70,70,1.41516
0,-70,80,1.25463
0,-70,90,1.34299
0,-70,100,1.3416
0,-70,110,1.34184
0,-70,120,1.34367
0,-70,130,1.34706
0,-70,140,1.31394
0,-70,150,1.3124
0,-70,160,1.25071
0,-70,170,1.25099
0,-70,180,1.28251
0,-60,-180,1.52435
0,-60,-170,1.38024
0,-60,-160,1.3806
0,-60,-150,1.38326
0,-60,-140,1.38806
0,-60,-130,1.59281
0,-60,-120,1.59768
0,-60,-110,1.74184
0,-60,-100,1.74999
0,-60,-90,1.76166
0,-60,-80,2.35255
0,-60,-70,1.37548
0,-60,-60,1.36932
0,-60,-50,1.36581
0,-60,-40,1.36506
0,-60,-30,1.36708
0,-60,-20,1.23699
0,-60,-10,1.3159
0,-60,0,1.31366
0,-60,10,1.18519
0,-60,20,1.21525
0,-60,30,1.21029
0,-60,40,1.20742
0,-60,50,1.20674
0,-60,60,1.20828
0,-60,70,1.31236
0,-60,80,1.50398
0,-60,90,1.27913
0,-60,100,1.27682
0,-60,110,1.49259
0,-60,120,1.49596
0,-60,130,1.25995
0,-60,140,1.25992
0,-60,150,1.26183
0,-60,160,1.38965
0,-60,170,1.40698
0,-60,180,1.52435
0,-50,-180,1.52121
0,-50,-170,1.48964
0,-50,-160,1.44813
0,-50,-150,1.45323
0,-50,-140,1.26341
0,-50,-130,1.59644
0,-50,-120,1.37376
0,-50,-110,1.37262
0,-50,-100,1.37495
0,-50,-90,1.12563
0,-50,-80,1.18394
0,-50,-70,1.1832
0,-50,-60,1.45277
0,-50,-50,1.44803
0,-50,-40,1.50642
0,-50,-30,1.5029
0,-50,-20,1.40283
0,-50,-10,1.35788
0,-50,0,1.1795
0,-50,10,1.24681
0,-50,20,1.19567
0,-50,30,1.19264
0,-50,40,1.36242
0,-50,50,1.36185
0,-50,60,1.15233
0,-50,70,1.15077
0,-50,80,1.09204
0,-50,90,1.2748
0,-50,100,1.27175
0,-50,110,1.42441
0,-50,120,1.4258
0,-50,130,1.2396
0,-50,140,1.24055
0,-50,150,1.35763
0,-50,160,1.54029
0,-50,170,1.61718
0,-50,180,1.52121
0,-40,-180,2.24729
0,-40,-170,1.5401
0,-40,-160,1.17996
0,-40,-150,1.15839
0,-40,-140,1.27554
0,-40,-130,1.4211
0,-40,-120,2.02423
0,-40,-110,2.01589
0,-40,-100,2.01739
0,-40,-90,1.18996
0,-40,-80,1.24287
0,-40,-70,1.3139
0,-40,-60,1.44882
0,-40,-50,1.80322
0,-40,-40,1.75925
0,-40,-30,1.44903
0,-40,-20,1.44928
0,-40,-10,1.36411
0,-40,0,1.36575
0,-40,10,1.25276
0,-40,20,1.15443
0,-40,30,1.24042
0,-40,40,1.57441
0,-40,50,1.41114
0,-40,60,1.29662
0,-40,70,1.19349
0,-40,80,1.14603
0,-40,90,1.60998
0,-40,100,1.60021
0,-40,110,1.59965
0,-40,120,1.27162
0,-40,130,1.15333
0,-40,140,1.15423
0,-40,150,1.15853
0,-40,160,1.66031
0,-40,170,2.24897
0,-40,180,2.24729
