time_step,lat,lon,pdop
0,-90,-180,1.79159
0,-90,-170,1.79159
0,-90,-160,1.79159
0,-90,-150,1.79159
0,-90,-140,1.79159
0,-90,-130,1.79159
0,-90,-120,1.79159
0,-90,-110,1.79159
0,-90,-100,1.79159
0,-90,-90,1.79159
0,-90,-80,1.79159
0,-90,-70,1.79159
0,-90,-60,1.79159
0,-90,-50,1.79159
0,-90,-40,1.79159
0,-90,-30,1.79159
0,-90,-20,1.79159
0,-90,-10,1.79159
0,-90,0,1.79159
0,-90,10,1.79159
0,-90,20,1.79159
0,-90,30,1.79159
0,-90,40,1.79159
0,-90,50,1.79159
0,-90,60,1.79159
0,-90,70,1.79159
0,-90,80,1.79159
0,-90,90,1.79159
0,-90,100,1.79159
0,-90,110,1.79159
0,-90,120,1.79159
0,-90,130,1.79159
0,-90,140,1.79159
0,-90,150,1.79159
0,-90,160,1.79159
0,-90,170,1.79159
0,-90,180,1.79159
0,-80,-180,1.81026
0,-80,-170,1.80445
0,-80,-160,1.79854
0,-80,-150,1.79273
0,-80,-140,1.78723
0,-80,-130,1.7822
0,-80,-120,1.77781
0,-80,-110,1.77417
0,-80,-100,1.77138
0,-80,-90,1.7695
0,-80,-80,1.76857
0,-80,-70,1.76859
0,-80,-60,1.76953
0,-80,-50,1.77135
0,-80,-40,1.77398
0,-80,-30,1.77735
0,-80,-20,1.78134
0,-80,-10,1.35976
0,-80,0,1.35931
0,-80,10,1.35912
0,-80,20,1.35924
0,-80,30,1.58739
0,-80,40,1.58785
0,-80,50,1.58919
0,-80,60,1.5914
0,-80,70,1.59442
0,-80,80,1.59817
0,-80,90,1.36708
0,-80,100,1.36846
0,-80,110,1.37024
0,-80,120,1.18831
0,-80,130,1.3209
0,-80,140,1.32028
0,-80,150,1.31999
0,-80,160,1.32002
0,-80,170,1.81577
0,-80,180,1.81026
0,-70,-180,1.13986
0,-70,-170,1.31153
0,-70,-160,1.53018
0,-70,-150,1.52964
0,-70,-140,1.67057
0,-70,-130,1.35923
0,-70,-120,1.78126
0,-70,-110,1.77434
0,-70,-100,1.76921
0,-70,-90,1.76593
0,-70,-80,1.38658
0,-70,-70,1.38526
0,-70,-60,1.38586
0,-70,-50,1.38834
0,-70,-40,1.39261
0,-70,-30,1.39855
0,-70,-20,1.36719
0,-70,-10,1.36558
0,-70,0,1.36426
0,-70,10,1.58339
0,-70,20,1.58055
0,-70,30,1.57932
0,-70,40,1.57984
0,-70,50,1.58214
0,-70,60,1.36553
0,-70,70,1.28591
