Satellite 1
Start: 2024-01-02 04:00:00
Stop:  2024-01-02 14:04:30

Start: 2024-01-03 00:00:00
Stop:  2024-01-03 14:01:00

Start: 2024-01-03 23:56:30
Stop:  2024-01-04 13:57:00

Start: 2024-01-04 23:53:00
Stop:  2024-01-05 13:53:00

Start: 2024-01-05 23:49:30
Stop:  2024-01-06 13:49:00

Start: 2024-01-06 23:45:30
Stop:  2024-01-07 13:45:00

Start: 2024-01-07 23:42:00
Stop:  2024-01-08 13:41:00

Start: 2024-01-08 23:38:30
Stop:  2024-01-09 04:00:00

Satellite 2
Start: 2024-01-02 04:00:00
Stop:  2024-01-09 04:00:00

Satellite 3
Start: 2024-01-02 06:52:30
Stop:  2024-01-02 21:33:30

Start: 2024-01-03 06:47:30
Stop:  2024-01-03 21:29:30

Start: 2024-01-04 06:42:30
Stop:  2024-01-04 21:25:30

Start: 2024-01-05 06:37:00
Stop:  2024-01-05 21:21:30

Start: 2024-01-06 06:32:00
Stop:  2024-01-06 21:18:00

Start: 2024-01-07 06:27:00
Stop:  2024-01-07 21:14:00

Start: 2024-01-08 06:22:00
Stop:  2024-01-08 21:10:00

Satellite 4
Start: 2024-01-02 04:00:00
Stop:  2024-01-02 05:50:30

Start: 2024-01-02 15:26:30
Stop:  2024-01-03 05:46:30

Start: 2024-01-03 15:22:00
Stop:  2024-01-04 05:42:30

Start: 2024-01-04 15:17:30
Stop:  2024-01-05 05:38:30

Start: 2024-01-05 15:13:00
Stop:  2024-01-06 05:34:30

Start: 2024-01-06 15:08:30
Stop:  2024-01-07 05:30:30

Start: 2024-01-07 15:04:00
Stop:  2024-01-08 05:26:30

Start: 2024-01-08 14:59:00
Stop:  2024-01-09 04:00:00

Satellite 5
Start: 2024-01-02 04:00:00
Stop:  2024-01-02 14:07:00

Start: 2024-01-02 22:02:30
Stop:  2024-01-03 14:03:00

Start: 2024-01-03 21:58:30
Stop:  2024-01-04 13:59:00

Start: 2024-01-04 21:55:00
Stop:  2024-01-05 13:55:00

Start: 2024-01-05 21:51:30
Stop:  2024-01-06 13:51:30

Start: 2024-01-06 21:47:30
Stop:  2024-01-07 13:47:30

Start: 2024-01-07 21:44:00
Stop:  2024-01-08 13:43:30

Start: 2024-01-08 21:40:30
Stop:  2024-01-09 04:00:00

Satellite 6
Start: 2024-01-02 05:27:30
Stop:  2024-01-02 21:30:00

Start: 2024-01-03 05:23:30
Stop:  2024-01-03 21:26:30

Start: 2024-01-04 05:19:00
Stop:  2024-01-04 21:22:30

Start: 2024-01-05 05:14:30
Stop:  2024-01-05 21:18:30

Start: 2024-01-06 05:10:30
Stop:  2024-01-06 21:14:30

Start: 2024-01-07 05:06:00
Stop:  2024-01-07 21:10:30

Start: 2024-01-08 05:01:30
Stop:  2024-01-08 21:06:30

Satellite 7
Start: 2024-01-02 04:00:00
Stop:  2024-01-09 04:00:00

Satellite 8
Start: 2024-01-02 10:50:00
Stop:  2024-01-02 19:23:30

Start: 2024-01-03 13:51:00
Stop:  2024-01-03 21:25:00

Start: 2024-01-04 02:44:30
Stop:  2024-01-04 05:43:00

Start: 2024-01-04 16:47:00
Stop:  2024-01-04 23:02:00

Start: 2024-01-05 03:12:00
Stop:  2024-01-05 08:03:00

Start: 2024-01-05 19:16:30
Stop:  2024-01-06 00:04:00

Start: 2024-01-06 04:15:30
